inv,date,debtor,po,purchase,escrow_rsv,discount,fees,wire_fee,net_adv,chgback,src
13507,08/07/2026,VALUE LOGISTICS LLC,1008405,3900.0,58.5,58.5,0.0,0.0,3783.0,0.0,FARO-IH-35-Transportation-export-17.csv
13508,08/07/2026,VALUE LOGISTICS LLC,1008321,3800.0,57.0,57.0,0.0,0.0,3686.0,0.0,FARO-IH-35-Transportation-export-17.csv
002,08/10/2026,IMPACT BULK LOGISTICS LLC,4483,3000.0,45.0,45.0,0.0,0.0,2910.0,0.0,export (11).csv
003,08/10/2026,NCC LOGISTICS USA INC,138458,2500.0,37.5,37.5,10.0,0.0,2415.0,0.0,export (11).csv
13509,08/10/2026,ES Logistics,6840,4400.0,66.0,66.0,0.0,0.0,4268.0,0.0,FARO-IH-35-Transportation-export-17.csv
001,08/11/2026,REHMANN TRANSPORTATION CORP.,001523174,3600.0,54.0,54.0,10.0,0.0,3482.0,0.0,export (11).csv
13510,08/11/2026,Refrigerx Transportation LLC,1012664,3800.0,57.0,57.0,0.0,0.0,3686.0,0.0,FARO-IH-35-Transportation-export-17.csv
13511,08/11/2026,Refrigerx Transportation LLC,1012689,3800.0,57.0,57.0,10.0,10.0,3676.0,0.0,FARO-IH-35-Transportation-export-17.csv
004,08/12/2026,"Watco Supply Chain Services, LLC",2239480,1700.0,25.5,25.5,10.0,0.0,1639.0,0.0,export (11).csv
005,08/13/2026,Magna Transport Solutions LLC,130823895,2700.0,40.5,40.5,0.0,0.0,2619.0,0.0,export (11).csv
006,08/13/2026,BV LOGISTICS INC,20495,2600.0,39.0,39.0,10.0,0.0,2512.0,0.0,export (11).csv
007,08/13/2026,"ITS LOGISTICS, LLC",68747,350.0,5.25,5.25,0.0,0.0,339.5,0.0,export (11).csv
008,08/14/2026,FLS Transport Inc.,005772267,525.0,7.88,7.88,0.0,0.0,509.24,0.0,export (11).csv
011,08/14/2026,Sethmar Transportation Inc,477079,700.0,10.5,10.5,0.0,0.0,679.0,0.0,export (11).csv
012,08/14/2026,CTS XPRESS LLC,0015418,4000.0,60.0,60.0,10.0,0.0,3870.0,0.0,export (11).csv
013,08/14/2026,Sethmar Transportation Inc,SEM66465,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,export (11).csv
13231,08/14/2026,INC ADMIRAL MERCHANTS MOTOR FREIGHT INC,2603385,4700.0,0.0,70.5,0.0,0.0,4559.0,0.0,FARO-IH-35-Transportation-export-17.csv
014,08/17/2026,CORE LOGISTICS BROKERAGE,31496-65096,3500.0,52.5,52.5,0.0,0.0,3395.0,0.0,export (11).csv
015,08/17/2026,DARDINI LLC,154100,3600.0,54.0,54.0,10.0,0.0,3482.0,0.0,export (11).csv
13522,08/17/2026,"DEL-CAN LOGISTICS, LLC.",38353,3500.0,52.5,52.5,10.0,10.0,3385.0,0.0,FARO-IH-35-Transportation-export-17.csv
016,08/18/2026,MPH CARRIER SERVICES INC,MPHC261334,3800.0,57.0,57.0,10.0,0.0,3676.0,0.0,export (11).csv
017,08/19/2026,SAJACKS FREIGHT INC,9020844,3100.0,46.5,46.5,0.0,0.0,3007.0,0.0,export (11).csv
019,08/19/2026,J RAYL TRANSPORT INC,251839,3500.0,52.5,52.5,10.0,0.0,3385.0,0.0,export (11).csv
13530,08/19/2026,BBA Logistics LLC,129037,1500.0,22.5,22.5,0.0,0.0,1455.0,0.0,FARO-IH-35-Transportation-export-17.csv
13531,08/19/2026,Refrigerx Transportation LLC,1012898-2,4300.0,64.5,64.5,10.0,10.0,4161.0,0.0,FARO-IH-35-Transportation-export-17.csv
018,08/21/2026,DARDINI LLC,154067,3900.0,58.5,58.5,0.0,0.0,3783.0,0.0,export (11).csv
020,08/21/2026,"DEL-CAN LOGISTICS, LLC.",38484,1000.0,15.0,15.0,0.0,0.0,970.0,0.0,export (11).csv
022,08/21/2026,"DEL-CAN LOGISTICS, LLC.",38463,3100.0,46.5,46.5,0.0,0.0,3007.0,0.0,export (11).csv
023,08/21/2026,S E Mares Forwarding Service LLC,SEM66495,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,export (11).csv
024,08/21/2026,Prodigee Logistics LLC,29852,4000.0,60.0,60.0,10.0,0.0,3870.0,0.0,export (11).csv
13533,08/21/2026,Refrigerx Transportation LLC,1013017,3450.0,51.75,51.75,10.0,10.0,3336.5,0.0,FARO-IH-35-Transportation-export-17.csv
021,08/24/2026,OSTT LOGISTICS LLC,119922,3300.0,49.5,49.5,10.0,0.0,3191.0,0.0,export (11).csv
025,08/24/2026,Jericho Freight LLC,21148,800.0,12.0,12.0,0.0,0.0,776.0,0.0,export (11).csv
13539,08/24/2026,Refrigerx Transportation LLC,1012900-2,4860.0,72.9,72.9,10.0,10.0,4704.2,0.0,FARO-IH-35-Transportation-export-17.csv
027,08/26/2026,PFL LOGISTICS LLC,LD88719,2500.0,37.5,37.5,10.0,0.0,2415.0,0.0,export (11).csv
028,08/26/2026,Hawkeye Transportation Services,66006,600.0,9.0,9.0,0.0,0.0,582.0,0.0,export (11).csv
029,08/28/2026,Simple Logistics Solutions,196203,4000.0,60.0,60.0,0.0,0.0,3880.0,0.0,export (11).csv
030,08/28/2026,John J Jerue Truck Broker Inc.,20348212,4800.0,72.0,72.0,0.0,0.0,4656.0,0.0,export (11).csv
031,08/28/2026,John J Jerue Truck Broker Inc.,20348564,1100.0,16.5,16.5,0.0,0.0,1067.0,0.0,export (11).csv
032,08/28/2026,John J Jerue Truck Broker Inc.,20348480,4800.0,72.0,72.0,0.0,0.0,4656.0,0.0,export (11).csv
033,08/28/2026,MPH CARRIER SERVICES INC,1000052,2300.0,34.5,34.5,10.0,0.0,2221.0,0.0,export (11).csv
034,08/28/2026,R2X LLC,0314828,1000.0,15.0,15.0,0.0,0.0,970.0,0.0,export (11).csv
035,08/28/2026,S E Mares Forwarding Service LLC,SMX14603,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,export (11).csv
036,08/28/2026,HUMMINGBIRD LOGISTIX LLC,0488,4000.0,60.0,60.0,0.0,0.0,3880.0,0.0,export (11).csv
038,08/31/2026,"DEL-CAN LOGISTICS, LLC.",38642,3000.0,45.0,45.0,0.0,0.0,2910.0,0.0,export (11).csv
039,08/31/2026,BIG G LOGISTICS LLC,0003965,3500.0,52.5,52.5,0.0,0.0,3395.0,0.0,export (11).csv
040,08/31/2026,DGL EXPORT INC,L-43416,3900.0,58.5,58.5,0.0,0.0,3783.0,0.0,export (11).csv
041,08/31/2026,AB GLOBAL LOGISTICS INC,0061471,3500.0,52.5,52.5,10.0,0.0,3385.0,0.0,export (11).csv
037,09/01/2026,ARMSTRONG TRANSPORT GROUP INC,4613473-1,3000.0,45.0,45.0,0.0,0.0,2910.0,0.0,export (11).csv
042,09/01/2026,SERVICE FIRST LOGISTICS INCORPORATED,131252703,3800.0,57.0,57.0,10.0,0.0,3676.0,0.0,export (11).csv
043,09/01/2026,SHEERTRANS SOLUTIONS LLC,131060693,4400.0,66.0,66.0,0.0,0.0,4268.0,0.0,export (11).csv
044,09/01/2026,Refrigerx Transportation LLC,1013241,3450.0,51.75,51.75,0.0,0.0,3346.5,0.0,export (11).csv
045,09/03/2026,ARMSTRONG TRANSPORT GROUP INC,4631936-1,3000.0,45.0,45.0,0.0,0.0,2910.0,0.0,export (11).csv
046,09/03/2026,Hawkeye Transportation Services,66174,600.0,9.0,9.0,0.0,0.0,582.0,0.0,export (11).csv
047,09/03/2026,PREMIUM EXPRESS LOGISTICS,18258,1000.0,15.0,15.0,0.0,0.0,970.0,0.0,export (11).csv
048,09/03/2026,Brock LLC,804689,1100.0,16.5,16.5,0.0,0.0,1067.0,0.0,export (11).csv
049,09/03/2026,AB GLOBAL LOGISTICS INC,0061409,2100.0,31.5,31.5,0.0,0.0,2037.0,0.0,export (11).csv
051,09/03/2026,ARMSTRONG TRANSPORT GROUP INC,4631956-1,3000.0,45.0,45.0,10.0,0.0,2900.0,0.0,export (11).csv
050,09/04/2026,AB GLOBAL LOGISTICS INC,0061461,4000.0,60.0,60.0,10.0,0.0,3870.0,0.0,export (11).csv
052,09/04/2026,XPR LOGISTICS LLC,2501086,6115.0,91.73,91.73,0.0,0.0,5931.54,0.0,export (11).csv
053,09/04/2026,S E Mares Forwarding Service LLC,SMX14611,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,export (11).csv
054,09/04/2026,ARMSTRONG TRANSPORT GROUP INC,#4636360-1,2300.0,34.5,34.5,0.0,0.0,2231.0,0.0,export (11).csv
056,09/08/2026,ES Logistics,ES6884,4400.0,66.0,66.0,0.0,0.0,4268.0,0.0,export (11).csv
057,09/08/2026,ES Logistics,ES-6883,2200.0,33.0,33.0,0.0,0.0,2134.0,0.0,export (11).csv
058,09/08/2026,Refrigerx Transportation LLC,1013406,3700.0,55.5,55.5,0.0,0.0,3589.0,0.0,export (11).csv
059,09/08/2026,ARMSTRONG TRANSPORT GROUP INC,4619442-1,3500.0,52.5,52.5,10.0,0.0,3385.0,0.0,export (11).csv
060,09/08/2026,S E Mares Forwarding Service LLC,SEM66511,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,export (11).csv
1013272-2,09/08/2026,Refrigerx Transportation LLC,059,5210.0,78.15,78.15,0.0,0.0,5053.7,0.0,export (11).csv
061,09/10/2026,DIRECT CONNECT LOGISTIX LLC,6492969,2100.0,31.5,31.5,10.0,10.0,2027.0,0.0,export (20).csv
062,09/10/2026,Tennessee Steel Haulers LLC,2160672,1000.0,15.0,15.0,0.0,0.0,970.0,0.0,export (20).csv
063,09/11/2026,TRIPLE T TRANSPORT INC,42-1269653,3300.0,49.5,49.5,0.0,0.0,3201.0,0.0,export (18).csv
064,09/11/2026,S E Mares Forwarding Service LLC,SEM66514,4900.0,73.5,73.5,10.0,10.0,4743.0,0.0,export (18).csv
065,09/11/2026,Hawkeye Transportation Services,66304,6850.0,102.75,102.75,0.0,0.0,6644.5,0.0,export (18).csv
066,09/11/2026,MODE TRANSPORTATION,16430047,3300.0,49.5,49.5,0.0,0.0,3201.0,0.0,export (18).csv
067,09/11/2026,S E Mares Forwarding Service LLC,SMX14610,4900.0,73.5,73.5,0.0,0.0,4753.0,0.0,export (18).csv
068,09/11/2026,Refrigerx Transportation LLC,101333-2,5700.0,85.5,85.5,0.0,0.0,5529.0,0.0,export (18).csv
069,09/11/2026,Kirsch Transportation Services Inc.,0712370,4150.0,62.25,62.25,0.0,0.0,4025.5,0.0,export (18).csv
